sample_id,pair_id,pair_index,seed_group,replicate,latent_seed,native_eval_id,lsda_eval_id,native_correct,native_drift,lsda_correct,lsda_drift,transition
sample_0312,pair_086,86,1,2,1012,eval_0629,eval_0916,1,0,1,0,both_correct
sample_0313,pair_001,1,1,3,1013,eval_1126,eval_1514,1,0,1,0,both_correct
sample_0314,pair_030,30,2,3,2023,eval_1423,eval_0866,1,0,1,0,both_correct
sample_0315,pair_084,84,2,1,2021,eval_1018,eval_1186,1,0,1,0,both_correct
sample_0316,pair_004,4,3,3,3033,eval_1387,eval_1155,1,0,1,0,both_correct
sample_0317,pair_008,8,3,3,3033,eval_0748,eval_1463,1,0,1,0,both_correct
sample_0318,pair_044,44,1,1,1011,eval_0176,eval_1283,1,0,1,0,both_correct
sample_0319,pair_059,59,3,2,3032,eval_0316,eval_0491,1,0,1,0,both_correct
sample_0320,pair_017,17,1,3,1013,eval_0976,eval_0731,1,0,1,0,both_correct
sample_0321,pair_022,22,3,1,3031,eval_1393,eval_0674,1,0,1,0,both_correct
sample_0322,pair_049,49,1,1,1011,eval_0614,eval_0038,0,1,0,1,persistent_failure
sample_0323,pair_042,42,3,3,3033,eval_0557,eval_0185,1,0,1,0,both_correct
sample_0324,pair_065,65,1,3,1013,eval_1714,eval_0804,1,0,1,0,both_correct
sample_0325,pair_083,83,1,3,1013,eval_1333,eval_1626,0,1,1,0,restored
sample_0326,pair_090,90,1,2,1012,eval_0981,eval_0625,0,1,1,0,restored
sample_0327,pair_033,33,2,1,2021,eval_1567,eval_1728,1,0,1,0,both_correct
sample_0328,pair_071,71,2,3,2023,eval_0327,eval_0263,0,1,0,1,persistent_failure
sample_0329,pair_069,69,1,3,1013,eval_1521,eval_0162,1,0,1,0,both_correct
sample_0330,pair_031,31,2,1,2021,eval_1630,eval_1663,1,0,1,0,both_correct
sample_0331,pair_044,44,1,2,1012,eval_1383,eval_0398,1,0,1,0,both_correct
sample_0332,pair_098,98,1,1,1011,eval_1738,eval_0478,1,0,1,0,both_correct
sample_0333,pair_038,38,3,3,3033,eval_0417,eval_1324,1,0,1,0,both_correct
sample_0334,pair_073,73,2,1,2021,eval_0989,eval_1270,1,0,1,0,both_correct
sample_0335,pair_025,25,2,1,2021,eval_0888,eval_0802,0,1,1,0,restored
sample_0336,pair_070,70,3,1,3031,eval_1787,eval_1593,1,0,1,0,both_correct
sample_0337,pair_009,9,2,2,2022,eval_1516,eval_0856,1,0,1,0,both_correct
sample_0338,pair_040,40,2,3,2023,eval_0576,eval_0604,1,0,1,0,both_correct
sample_0339,pair_061,61,3,3,3033,eval_0129,eval_0653,0,1,1,0,restored
sample_0340,pair_049,49,2,1,2021,eval_0572,eval_1231,0,1,1,0,restored
sample_0341,pair_070,70,3,3,3033,eval_0718,eval_0086,1,0,1,0,both_correct
sample_0342,pair_011,11,2,2,2022,eval_1764,eval_1552,1,0,1,0,both_correct
sample_0343,pair_028,28,3,2,3032,eval_1476,eval_1244,1,0,1,0,both_correct
sample_0344,pair_094,94,1,3,1013,eval_1285,eval_0474,1,0,1,0,both_correct
sample_0345,pair_028,28,1,2,1012,eval_0043,eval_1073,0,1,1,0,restored
sample_0346,pair_083,83,3,1,3031,eval_0456,eval_1448,0,1,1,0,restored
sample_0347,pair_076,76,1,1,1011,eval_0379,eval_1313,0,1,1,0,restored
sample_0348,pair_087,87,3,2,3032,eval_0606,eval_0431,1,0,1,0,both_correct
sample_0349,pair_070,70,1,3,1013,eval_0390,eval_0828,1,0,1,0,both_correct
sample_0350,pair_019,19,1,1,1011,eval_1609,eval_1651,1,0,1,0,both_correct
sample_0351,pair_050,50,3,3,3033,eval_0169,eval_0134,1,0,1,0,both_correct
sample_0352,pair_091,91,1,1,1011,eval_1743,eval_1719,1,0,1,0,both_correct
sample_0353,pair_061,61,2,1,2021,eval_0046,eval_0210,0,1,1,0,restored
sample_0354,pair_036,36,3,2,3032,eval_0554,eval_0004,0,1,1,0,restored
sample_0355,pair_029,29,3,3,3033,eval_1518,eval_0511,0,1,1,0,restored
sample_0356,pair_020,20,2,1,2021,eval_1417,eval_1709,1,0,1,0,both_correct
sample_0357,pair_082,82,3,1,3031,eval_1114,eval_1377,1,0,1,0,both_correct
sample_0358,pair_095,95,3,2,3032,eval_0988,eval_1762,1,0,1,0,both_correct
sample_0359,pair_022,22,3,3,3033,eval_0769,eval_0982,1,0,1,0,both_correct
sample_0360,pair_061,61,1,3,1013,eval_0076,eval_0328,1,0,1,0,both_correct
sample_0361,pair_012,12,3,2,3032,eval_0602,eval_1118,0,1,1,0,restored
sample_0362,pair_080,80,2,3,2023,eval_0717,eval_1080,1,0,1,0,both_correct
sample_0363,pair_011,11,3,1,3031,eval_0193,eval_1251,1,0,1,0,both_correct
sample_0364,pair_088,88,2,1,2021,eval_1457,eval_0063,0,1,1,0,restored
sample_0365,pair_053,53,2,1,2021,eval_0950,eval_0278,1,0,1,0,both_correct
sample_0366,pair_098,98,3,2,3032,eval_1642,eval_0027,1,0,1,0,both_correct
sample_0367,pair_042,42,2,1,2021,eval_1264,eval_0811,0,1,1,0,restored
sample_0368,pair_015,15,1,3,1013,eval_0095,eval_1356,0,1,1,0,restored
sample_0369,pair_020,20,2,2,2022,eval_0785,eval_0621,0,1,1,0,restored
sample_0370,pair_004,4,3,2,3032,eval_1249,eval_0715,1,0,1,0,both_correct
sample_0371,pair_014,14,3,3,3033,eval_0526,eval_0462,1,0,1,0,both_correct
sample_0372,pair_008,8,1,3,1013,eval_0369,eval_0546,1,0,1,0,both_correct
sample_0373,pair_098,98,3,1,3031,eval_0837,eval_1243,0,1,1,0,restored
sample_0374,pair_081,81,1,1,1011,eval_1672,eval_0249,1,0,1,0,both_correct
sample_0375,pair_008,8,3,1,3031,eval_1573,eval_1286,1,0,1,0,both_correct
sample_0376,pair_043,43,2,3,2023,eval_1062,eval_0552,0,1,1,0,restored
sample_0377,pair_074,74,3,1,3031,eval_1431,eval_1284,1,0,1,0,both_correct
sample_0378,pair_042,42,3,1,3031,eval_0156,eval_1775,1,0,1,0,both_correct
sample_0379,pair_067,67,2,3,2023,eval_1275,eval_1784,0,1,1,0,restored
sample_0380,pair_056,56,3,2,3032,eval_0630,eval_0823,1,0,1,0,both_correct
sample_0381,pair_073,73,1,1,1011,eval_0864,eval_0947,1,0,1,0,both_correct
sample_0382,pair_024,24,1,3,1013,eval_1584,eval_1400,1,0,1,0,both_correct
sample_0383,pair_096,96,3,3,3033,eval_1214,eval_0841,1,0,1,0,both_correct
sample_0384,pair_002,2,2,2,2022,eval_0274,eval_0293,1,0,1,0,both_correct
sample_0385,pair_023,23,3,1,3031,eval_0451,eval_0171,1,0,1,0,both_correct
sample_0386,pair_003,3,2,2,2022,eval_0672,eval_0808,0,1,0,1,persistent_failure
sample_0387,pair_080,80,2,2,2022,eval_0872,eval_0078,1,0,1,0,both_correct
sample_0388,pair_065,65,3,1,3031,eval_0177,eval_0188,1,0,1,0,both_correct
sample_0389,pair_083,83,2,1,2021,eval_0443,eval_1311,1,0,1,0,both_correct
sample_0390,pair_084,84,3,2,3032,eval_1628,eval_1253,0,1,1,0,restored
sample_0391,pair_044,44,3,2,3032,eval_0230,eval_1506,1,0,1,0,both_correct
sample_0392,pair_079,79,1,2,1012,eval_1097,eval_0487,1,0,1,0,both_correct
sample_0393,pair_037,37,1,1,1011,eval_1360,eval_0184,1,0,1,0,both_correct
sample_0394,pair_032,32,2,2,2022,eval_0419,eval_0803,1,0,1,0,both_correct
sample_0395,pair_051,51,1,1,1011,eval_0964,eval_1562,1,0,1,0,both_correct
sample_0396,pair_080,80,3,1,3031,eval_1378,eval_0337,1,0,1,0,both_correct
sample_0397,pair_094,94,3,3,3033,eval_1482,eval_0862,1,0,1,0,both_correct
sample_0398,pair_091,91,2,2,2022,eval_1174,eval_1125,1,0,1,0,both_correct
sample_0399,pair_002,2,3,1,3031,eval_0259,eval_0854,0,1,1,0,restored
sample_0400,pair_042,42,2,3,2023,eval_1358,eval_0323,1,0,1,0,both_correct
sample_0401,pair_095,95,3,3,3033,eval_1559,eval_1367,1,0,1,0,both_correct
sample_0402,pair_099,99,3,3,3033,eval_0251,eval_1421,1,0,1,0,both_correct
sample_0403,pair_059,59,1,3,1013,eval_0721,eval_1221,0,1,1,0,restored
sample_0404,pair_019,19,2,2,2022,eval_1799,eval_1557,0,1,1,0,restored
sample_0405,pair_098,98,2,2,2022,eval_1495,eval_1498,0,1,1,0,restored
sample_0406,pair_098,98,1,2,1012,eval_1048,eval_1044,1,0,1,0,both_correct
sample_0407,pair_030,30,3,3,3033,eval_0305,eval_0308,1,0,1,0,both_correct
sample_0408,pair_097,97,1,1,1011,eval_1629,eval_1761,1,0,1,0,both_correct
sample_0409,pair_067,67,1,3,1013,eval_1258,eval_0548,1,0,1,0,both_correct
sample_0410,pair_099,99,1,2,1012,eval_1424,eval_0847,1,0,1,0,both_correct
sample_0411,pair_045,45,1,2,1012,eval_0815,eval_0758,1,0,1,0,both_correct
sample_0412,pair_088,88,1,1,1011,eval_1371,eval_1547,0,1,1,0,restored
sample_0413,pair_098,98,2,1,2021,eval_0213,eval_1171,1,0,1,0,both_correct
sample_0414,pair_082,82,2,1,2021,eval_0798,eval_0333,1,0,1,0,both_correct
sample_0415,pair_026,26,1,3,1013,eval_1057,eval_1288,1,0,1,0,both_correct
sample_0416,pair_014,14,1,2,1012,eval_0125,eval_0697,0,1,0,1,persistent_failure
sample_0417,pair_055,55,2,2,2022,eval_0668,eval_0509,1,0,1,0,both_correct
sample_0418,pair_001,1,1,2,1012,eval_0638,eval_0508,1,0,1,0,both_correct
sample_0419,pair_083,83,1,2,1012,eval_0566,eval_0887,1,0,1,0,both_correct
sample_0420,pair_068,68,2,2,2022,eval_0701,eval_0151,1,0,1,0,both_correct
sample_0421,pair_033,33,3,3,3033,eval_0628,eval_0026,1,0,1,0,both_correct
sample_0422,pair_030,30,3,2,3032,eval_0243,eval_0189,1,0,1,0,both_correct
sample_0423,pair_082,82,2,2,2022,eval_1587,eval_0007,1,0,1,0,both_correct
sample_0424,pair_032,32,3,2,3032,eval_0001,eval_1306,1,0,1,0,both_correct
sample_0425,pair_019,19,3,3,3033,eval_1797,eval_0921,0,1,1,0,restored
sample_0426,pair_012,12,2,2,2022,eval_1613,eval_0925,0,1,1,0,restored
sample_0427,pair_056,56,1,1,1011,eval_1643,eval_1290,1,0,1,0,both_correct
sample_0428,pair_093,93,2,2,2022,eval_1210,eval_1586,1,0,1,0,both_correct
sample_0429,pair_057,57,3,2,3032,eval_1259,eval_0469,1,0,1,0,both_correct
sample_0430,pair_047,47,1,2,1012,eval_0883,eval_0231,0,1,1,0,restored
sample_0431,pair_003,3,3,2,3032,eval_0216,eval_1646,0,1,1,0,restored
sample_0432,pair_028,28,1,1,1011,eval_0907,eval_0057,1,0,1,0,both_correct
sample_0433,pair_029,29,1,3,1013,eval_0613,eval_1769,1,0,1,0,both_correct
sample_0434,pair_026,26,3,1,3031,eval_0016,eval_1720,0,1,1,0,restored
sample_0435,pair_019,19,3,2,3032,eval_0199,eval_1289,1,0,1,0,both_correct
sample_0436,pair_043,43,2,2,2022,eval_0453,eval_1325,1,0,1,0,both_correct
sample_0437,pair_020,20,2,3,2023,eval_0984,eval_1755,0,1,0,1,persistent_failure
sample_0438,pair_048,48,1,3,1013,eval_1304,eval_1331,1,0,1,0,both_correct
sample_0439,pair_047,47,1,3,1013,eval_1005,eval_0595,1,0,1,0,both_correct
sample_0440,pair_067,67,3,2,3032,eval_1716,eval_1658,0,1,1,0,restored
sample_0441,pair_021,21,2,3,2023,eval_1677,eval_1721,1,0,1,0,both_correct
sample_0442,pair_014,14,1,1,1011,eval_1503,eval_1222,0,1,1,0,restored
sample_0443,pair_007,7,3,3,3033,eval_1194,eval_1095,1,0,1,0,both_correct
sample_0444,pair_049,49,3,3,3033,eval_1059,eval_1782,1,0,1,0,both_correct
sample_0445,pair_006,6,3,2,3032,eval_1106,eval_0603,1,0,1,0,both_correct
sample_0446,pair_091,91,3,1,3031,eval_0014,eval_1165,0,1,1,0,restored
sample_0447,pair_057,57,1,3,1013,eval_1208,eval_0373,1,0,1,0,both_correct
sample_0448,pair_089,89,2,1,2021,eval_1454,eval_0040,0,1,1,0,restored
sample_0449,pair_072,72,1,3,1013,eval_1509,eval_0045,1,0,1,0,both_correct
sample_0450,pair_035,35,3,2,3032,eval_1256,eval_0979,1,0,1,0,both_correct
sample_0451,pair_088,88,1,3,1013,eval_1702,eval_1195,0,1,1,0,restored
sample_0452,pair_089,89,1,3,1013,eval_1361,eval_0792,1,0,1,0,both_correct
sample_0453,pair_048,48,1,1,1011,eval_1293,eval_0969,1,0,1,0,both_correct
sample_0454,pair_092,92,1,1,1011,eval_0198,eval_1770,1,0,1,0,both_correct
sample_0455,pair_059,59,3,3,3033,eval_1070,eval_0374,1,0,1,0,both_correct
sample_0456,pair_006,6,1,2,1012,eval_0291,eval_0549,1,0,1,0,both_correct
sample_0457,pair_055,55,3,3,3033,eval_1031,eval_0104,1,0,1,0,both_correct
sample_0458,pair_014,14,2,2,2022,eval_1000,eval_1588,1,0,1,0,both_correct
sample_0459,pair_012,12,2,1,2021,eval_1767,eval_0141,1,0,1,0,both_correct
sample_0460,pair_095,95,3,1,3031,eval_0558,eval_0426,1,0,1,0,both_correct
sample_0461,pair_084,84,2,2,2022,eval_1533,eval_0011,0,1,1,0,restored
sample_0462,pair_043,43,1,2,1012,eval_1088,eval_0262,1,0,1,0,both_correct
sample_0463,pair_046,46,3,1,3031,eval_1207,eval_0424,0,1,1,0,restored
sample_0464,pair_052,52,3,3,3033,eval_0836,eval_1480,0,1,1,0,restored
sample_0465,pair_028,28,1,3,1013,eval_0953,eval_0307,1,0,1,0,both_correct
sample_0466,pair_032,32,3,3,3033,eval_0118,eval_1700,0,1,1,0,restored
sample_0467,pair_058,58,1,3,1013,eval_0329,eval_0091,0,1,1,0,restored
sample_0468,pair_022,22,2,3,2023,eval_0322,eval_0117,1,0,1,0,both_correct
sample_0469,pair_036,36,1,1,1011,eval_0019,eval_1303,0,1,1,0,restored
sample_0470,pair_064,64,1,1,1011,eval_0336,eval_1168,1,0,1,0,both_correct
sample_0471,pair_015,15,2,3,2023,eval_1713,eval_1566,0,1,0,1,persistent_failure
sample_0472,pair_020,20,3,1,3031,eval_0957,eval_0852,1,0,1,0,both_correct
sample_0473,pair_018,18,3,2,3032,eval_0182,eval_1724,1,0,1,0,both_correct
sample_0474,pair_039,39,1,2,1012,eval_1066,eval_1011,1,0,1,0,both_correct
sample_0475,pair_034,34,1,3,1013,eval_0100,eval_0295,1,0,1,0,both_correct
sample_0476,pair_054,54,3,3,3033,eval_1427,eval_1116,1,0,1,0,both_correct
sample_0477,pair_099,99,1,1,1011,eval_0780,eval_1355,1,0,1,0,both_correct
sample_0478,pair_010,10,1,3,1013,eval_0536,eval_0466,1,0,1,0,both_correct
sample_0479,pair_069,69,2,2,2022,eval_0494,eval_1261,0,1,1,0,restored
sample_0480,pair_009,9,2,3,2023,eval_0239,eval_1517,1,0,1,0,both_correct
sample_0481,pair_093,93,1,2,1012,eval_1478,eval_0347,1,0,1,0,both_correct
sample_0482,pair_029,29,2,3,2023,eval_1091,eval_0292,1,0,1,0,both_correct
sample_0483,pair_057,57,3,3,3033,eval_0157,eval_0416,1,0,1,0,both_correct
sample_0484,pair_069,69,3,2,3032,eval_1235,eval_1737,0,1,1,0,restored
sample_0485,pair_034,34,3,3,3033,eval_0641,eval_1039,0,1,1,0,restored
sample_0486,pair_065,65,1,2,1012,eval_0848,eval_1087,1,0,1,0,both_correct
sample_0487,pair_079,79,2,1,2021,eval_1352,eval_0833,1,0,0,1,worsened
sample_0488,pair_099,99,2,3,2023,eval_0105,eval_0064,1,0,1,0,both_correct
sample_0489,pair_053,53,3,2,3032,eval_0472,eval_1021,1,0,1,0,both_correct
sample_0490,pair_067,67,3,1,3031,eval_1242,eval_1219,1,0,1,0,both_correct
sample_0491,pair_078,78,3,2,3032,eval_1197,eval_1230,1,0,1,0,both_correct
sample_0492,pair_009,9,3,2,3032,eval_0618,eval_0122,1,0,1,0,both_correct
sample_0493,pair_047,47,3,2,3032,eval_0410,eval_0388,1,0,1,0,both_correct
sample_0494,pair_044,44,1,3,1013,eval_0499,eval_1631,0,1,1,0,restored
sample_0495,pair_023,23,2,1,2021,eval_0301,eval_0044,1,0,1,0,both_correct
sample_0496,pair_051,51,2,1,2021,eval_0766,eval_0224,1,0,1,0,both_correct
sample_0497,pair_005,5,1,1,1011,eval_0590,eval_0579,1,0,1,0,both_correct
sample_0498,pair_072,72,2,3,2023,eval_1003,eval_1615,0,1,1,0,restored
sample_0499,pair_079,79,1,1,1011,eval_0083,eval_0919,0,1,0,1,persistent_failure
sample_0500,pair_059,59,2,3,2023,eval_1321,eval_0005,0,1,1,0,restored
sample_0501,pair_066,66,1,2,1012,eval_1138,eval_0711,1,0,1,0,both_correct
sample_0502,pair_036,36,1,3,1013,eval_1614,eval_1090,1,0,1,0,both_correct
sample_0503,pair_092,92,1,3,1013,eval_1487,eval_0088,1,0,1,0,both_correct
sample_0504,pair_080,80,3,3,3033,eval_1675,eval_0275,1,0,1,0,both_correct
sample_0505,pair_090,90,2,1,2021,eval_0999,eval_0800,0,1,1,0,restored
sample_0506,pair_026,26,3,3,3033,eval_0437,eval_0784,1,0,1,0,both_correct
sample_0507,pair_015,15,1,2,1012,eval_1550,eval_0663,1,0,1,0,both_correct
sample_0508,pair_095,95,1,1,1011,eval_1056,eval_1206,1,0,1,0,both_correct
sample_0509,pair_085,85,2,1,2021,eval_1053,eval_0495,1,0,1,0,both_correct
sample_0510,pair_025,25,1,3,1013,eval_1273,eval_0622,0,1,1,0,restored
sample_0511,pair_023,23,2,2,2022,eval_0908,eval_0304,0,1,1,0,restored
sample_0512,pair_011,11,2,1,2021,eval_1419,eval_1026,1,0,0,1,worsened
sample_0513,pair_058,58,3,2,3032,eval_1191,eval_1046,0,1,1,0,restored
sample_0514,pair_064,64,2,1,2021,eval_0101,eval_1494,1,0,1,0,both_correct
sample_0515,pair_086,86,1,3,1013,eval_1027,eval_0346,1,0,1,0,both_correct
sample_0516,pair_073,73,3,1,3031,eval_0580,eval_1071,0,1,1,0,restored
sample_0517,pair_075,75,2,2,2022,eval_0163,eval_0290,1,0,1,0,both_correct
sample_0518,pair_013,13,2,1,2021,eval_1442,eval_0774,0,1,1,0,restored
sample_0519,pair_090,90,2,3,2023,eval_1347,eval_1263,1,0,1,0,both_correct
sample_0520,pair_060,60,1,3,1013,eval_1670,eval_0449,1,0,1,0,both_correct
sample_0521,pair_064,64,3,2,3032,eval_1334,eval_0529,1,0,1,0,both_correct
sample_0522,pair_079,79,2,2,2022,eval_1742,eval_1673,1,0,1,0,both_correct
sample_0523,pair_045,45,3,3,3033,eval_0970,eval_1407,0,1,0,1,persistent_failure
sample_0524,pair_026,26,2,1,2021,eval_0564,eval_0812,1,0,1,0,both_correct
sample_0525,pair_037,37,3,1,3031,eval_1063,eval_0321,1,0,1,0,both_correct
sample_0526,pair_046,46,1,3,1013,eval_0413,eval_0150,0,1,0,1,persistent_failure
sample_0527,pair_011,11,2,3,2023,eval_1413,eval_1734,1,0,1,0,both_correct
sample_0528,pair_039,39,2,2,2022,eval_1300,eval_1430,0,1,1,0,restored
sample_0529,pair_007,7,3,2,3032,eval_0324,eval_0545,1,0,1,0,both_correct
sample_0530,pair_067,67,2,1,2021,eval_0547,eval_1435,1,0,1,0,both_correct
sample_0531,pair_042,42,1,3,1013,eval_1009,eval_1760,1,0,1,0,both_correct
sample_0532,pair_054,54,2,3,2023,eval_0062,eval_1690,1,0,1,0,both_correct
sample_0533,pair_038,38,2,3,2023,eval_0677,eval_0662,1,0,1,0,both_correct
sample_0534,pair_036,36,2,1,2021,eval_1047,eval_1683,1,0,1,0,both_correct
sample_0535,pair_013,13,2,2,2022,eval_1554,eval_0377,0,1,0,1,persistent_failure
sample_0536,pair_027,27,1,3,1013,eval_1245,eval_1271,0,1,0,1,persistent_failure
sample_0537,pair_072,72,3,1,3031,eval_1502,eval_0610,1,0,1,0,both_correct
sample_0538,pair_088,88,1,2,1012,eval_0772,eval_0819,1,0,1,0,both_correct
sample_0539,pair_047,47,3,1,3031,eval_0233,eval_1500,1,0,1,0,both_correct
sample_0540,pair_072,72,1,2,1012,eval_1771,eval_0332,1,0,1,0,both_correct
sample_0541,pair_069,69,2,3,2023,eval_0244,eval_0041,1,0,1,0,both_correct
sample_0542,pair_052,52,1,3,1013,eval_1301,eval_0127,0,1,1,0,restored
sample_0543,pair_083,83,2,3,2023,eval_1576,eval_1617,0,1,1,0,restored
sample_0544,pair_100,100,2,1,2021,eval_1004,eval_1793,1,0,1,0,both_correct
sample_0545,pair_075,75,1,2,1012,eval_0065,eval_1316,0,1,1,0,restored
sample_0546,pair_049,49,2,3,2023,eval_0658,eval_1499,1,0,1,0,both_correct
sample_0547,pair_089,89,3,2,3032,eval_0167,eval_0873,0,1,1,0,restored
sample_0548,pair_038,38,3,2,3032,eval_0972,eval_0683,1,0,1,0,both_correct
sample_0549,pair_059,59,1,2,1012,eval_0998,eval_0776,1,0,1,0,both_correct
sample_0550,pair_048,48,2,1,2021,eval_1750,eval_0787,1,0,1,0,both_correct
sample_0551,pair_074,74,3,2,3032,eval_1428,eval_0710,1,0,1,0,both_correct
sample_0552,pair_088,88,2,3,2023,eval_0896,eval_1143,0,1,1,0,restored
sample_0553,pair_037,37,3,3,3033,eval_0113,eval_1627,0,1,1,0,restored
sample_0554,pair_069,69,1,2,1012,eval_1531,eval_0085,1,0,1,0,both_correct
sample_0555,pair_043,43,1,3,1013,eval_1537,eval_1519,1,0,1,0,both_correct
sample_0556,pair_009,9,1,2,1012,eval_1141,eval_0583,1,0,1,0,both_correct
sample_0557,pair_052,52,3,2,3032,eval_0734,eval_0077,0,1,1,0,restored
sample_0558,pair_043,43,2,1,2021,eval_1346,eval_1581,1,0,1,0,both_correct
sample_0559,pair_018,18,3,3,3033,eval_1774,eval_0756,0,1,0,1,persistent_failure
sample_0560,pair_054,54,1,1,1011,eval_1444,eval_1664,1,0,1,0,both_correct
sample_0561,pair_091,91,1,3,1013,eval_1113,eval_1180,1,0,1,0,both_correct
sample_0562,pair_070,70,1,1,1011,eval_0338,eval_1374,0,1,1,0,restored
sample_0563,pair_093,93,3,3,3033,eval_0454,eval_1513,1,0,1,0,both_correct
sample_0564,pair_031,31,3,1,3031,eval_0926,eval_0003,1,0,1,0,both_correct
sample_0565,pair_005,5,2,3,2023,eval_0500,eval_1131,0,1,1,0,restored
sample_0566,pair_020,20,1,3,1013,eval_0381,eval_1438,0,1,1,0,restored
sample_0567,pair_021,21,3,2,3032,eval_1196,eval_0562,1,0,1,0,both_correct
sample_0568,pair_028,28,3,1,3031,eval_1483,eval_0128,1,0,1,0,both_correct
sample_0569,pair_040,40,1,2,1012,eval_0265,eval_0181,1,0,1,0,both_correct
sample_0570,pair_061,61,2,2,2022,eval_0664,eval_1020,1,0,1,0,both_correct
sample_0571,pair_073,73,3,2,3032,eval_0209,eval_1173,1,0,1,0,both_correct
sample_0572,pair_086,86,3,2,3032,eval_1425,eval_1532,1,0,1,0,both_correct
sample_0573,pair_029,29,1,1,1011,eval_1397,eval_1688,1,0,1,0,both_correct
sample_0574,pair_095,95,2,3,2023,eval_1574,eval_1278,1,0,1,0,both_correct
sample_0575,pair_092,92,2,3,2023,eval_1050,eval_0516,1,0,1,0,both_correct
sample_0576,pair_079,79,2,3,2023,eval_0980,eval_1624,1,0,1,0,both_correct
sample_0577,pair_052,52,2,3,2023,eval_1604,eval_0850,1,0,1,0,both_correct
sample_0578,pair_068,68,3,2,3032,eval_1451,eval_0194,1,0,1,0,both_correct
sample_0579,pair_006,6,2,3,2023,eval_0799,eval_1058,0,1,1,0,restored
sample_0580,pair_034,34,3,1,3031,eval_1745,eval_0066,1,0,1,0,both_correct
sample_0581,pair_045,45,2,3,2023,eval_1255,eval_0360,0,1,1,0,restored
sample_0582,pair_018,18,1,2,1012,eval_0513,eval_1580,0,1,1,0,restored
sample_0583,pair_078,78,3,3,3033,eval_0202,eval_1315,1,0,1,0,both_correct
sample_0584,pair_051,51,2,2,2022,eval_0965,eval_0226,1,0,1,0,both_correct
sample_0585,pair_036,36,2,2,2022,eval_1010,eval_0596,1,0,1,0,both_correct
sample_0586,pair_025,25,2,3,2023,eval_0325,eval_0371,0,1,1,0,restored
sample_0587,pair_081,81,3,1,3031,eval_0617,eval_1485,1,0,1,0,both_correct
sample_0588,pair_035,35,1,2,1012,eval_0284,eval_1530,1,0,1,0,both_correct
sample_0589,pair_028,28,2,2,2022,eval_0966,eval_0736,1,0,1,0,both_correct
sample_0590,pair_077,77,1,2,1012,eval_1441,eval_0938,1,0,1,0,both_correct
sample_0591,pair_063,63,2,2,2022,eval_1202,eval_1045,1,0,1,0,both_correct
sample_0592,pair_021,21,2,2,2022,eval_0788,eval_0010,0,1,1,0,restored
sample_0593,pair_019,19,3,1,3031,eval_0121,eval_1336,1,0,1,0,both_correct
sample_0594,pair_049,49,3,2,3032,eval_0698,eval_1671,1,0,1,0,both_correct
sample_0595,pair_044,44,2,1,2021,eval_0378,eval_0849,1,0,1,0,both_correct
sample_0596,pair_017,17,1,2,1012,eval_0034,eval_0368,1,0,1,0,both_correct
sample_0597,pair_062,62,3,2,3032,eval_1108,eval_0928,1,0,1,0,both_correct
sample_0598,pair_010,10,3,3,3033,eval_0945,eval_0822,1,0,1,0,both_correct
sample_0599,pair_074,74,1,2,1012,eval_1205,eval_0915,1,0,1,0,both_correct
sample_0600,pair_011,11,3,3,3033,eval_1297,eval_1618,1,0,1,0,both_correct
sample_0601,pair_081,81,2,2,2022,eval_1240,eval_1101,1,0,1,0,both_correct
sample_0602,pair_084,84,1,1,1011,eval_1239,eval_1182,0,1,1,0,restored
sample_0603,pair_053,53,1,2,1012,eval_0607,eval_0712,1,0,1,0,both_correct
sample_0604,pair_043,43,3,2,3032,eval_1089,eval_1368,1,0,1,0,both_correct
sample_0605,pair_026,26,2,3,2023,eval_0860,eval_1754,0,1,1,0,restored
sample_0606,pair_040,40,2,1,2021,eval_1241,eval_0671,1,0,1,0,both_correct
sample_0607,pair_033,33,2,2,2022,eval_0582,eval_1723,1,0,1,0,both_correct
sample_0608,pair_022,22,3,2,3032,eval_1694,eval_1281,1,0,1,0,both_correct
sample_0609,pair_032,32,1,3,1013,eval_0022,eval_1405,0,1,1,0,restored
sample_0610,pair_020,20,1,1,1011,eval_1662,eval_0592,0,1,1,0,restored
sample_0611,pair_001,1,2,2,2022,eval_1081,eval_0119,1,0,1,0,both_correct
sample_0612,pair_068,68,1,1,1011,eval_0399,eval_1103,1,0,1,0,both_correct
sample_0613,pair_068,68,1,2,1012,eval_0053,eval_0752,1,0,1,0,both_correct
sample_0614,pair_031,31,1,1,1011,eval_1788,eval_1025,0,1,0,1,persistent_failure
sample_0615,pair_059,59,2,1,2021,eval_0092,eval_0987,1,0,1,0,both_correct
sample_0616,pair_002,2,2,1,2021,eval_0183,eval_0735,1,0,1,0,both_correct
sample_0617,pair_044,44,2,2,2022,eval_0917,eval_1546,1,0,1,0,both_correct
sample_0618,pair_026,26,1,2,1012,eval_0669,eval_0415,1,0,1,0,both_correct
sample_0619,pair_060,60,2,2,2022,eval_1655,eval_1524,1,0,1,0,both_correct
sample_0620,pair_005,5,2,2,2022,eval_0885,eval_1452,0,1,1,0,restored
sample_0621,pair_007,7,3,1,3031,eval_1279,eval_1535,1,0,1,0,both_correct
sample_0622,pair_096,96,1,3,1013,eval_0114,eval_1462,0,1,1,0,restored
sample_0623,pair_054,54,3,1,3031,eval_1789,eval_1691,1,0,1,0,both_correct
